video,label
dataset_root/hmdb51/smile/Re-_Re-_Show_your_Smile!_smile_h_nm_np1_fr_med_0.mp4,193
dataset_root/hmdb51/jump/Parkour-_Diving_Kong_jump_u_cm_np1_ri_bad_0.mp4,188
dataset_root/hmdb51/draw_sword/VERGIL_(DEVIL_MAY_CRY)_swinging_his_sword_draw_sword_f_cm_np1_fr_med_0.mp4,183
dataset_root/hmdb51/ride_horse/HorseRiding_ride_horse_f_cm_np1_ba_med_5.mp4,203
dataset_root/hmdb51/hit/Blues_Shuffle_Drum_Beats_-_Blues_Drum_Beats-_Crash_on__Four_And__hit_u_nm_np1_le_bad_1.mp4,197
dataset_root/hmdb51/clap/Martin_klatscht_in_die_h_nde_und_FURZT_clap_u_cm_np1_fr_med_0.mp4,219
dataset_root/hmdb51/dive/bungee_jumping_compilation_dive_f_cm_np1_ri_bad_3.mp4,200
dataset_root/hmdb51/walk/Oceans12_walk_u_cm_np1_ri_med_1.mp4,181
dataset_root/hmdb51/turn/20060723sfjffcomeback_turn_u_nm_np1_le_med_0.mp4,191
dataset_root/hmdb51/shake_hands/Sonny_Rollins_Polar_Music__Prize_2007_Award_Ceremony_shake_hands_u_nm_np2_fr_med_1.mp4,192
dataset_root/hmdb51/climb_stairs/Empire_State_Building_Run-Up_climb_stairs_f_cm_np1_fr_med_0.mp4,201
dataset_root/hmdb51/clap/RE-_Boom_Snap_Clap_clap_u_nm_np1_fr_med_1.mp4,219
dataset_root/hmdb51/jump/Documentario_Le_Parkour_Londrina_jump_f_cm_np1_ri_bad_5.mp4,188
dataset_root/hmdb51/wave/BIG_FISH_wave_u_nm_np1_fr_bad_4.mp4,210
dataset_root/hmdb51/punch/AdvancedBoxingTechniquesandExercises_punch_u_nm_np1_ri_med_20.mp4,223
dataset_root/hmdb51/kiss/BestKisses_kiss_h_cm_np2_ri_goo_13.mp4,204
dataset_root/hmdb51/drink/AllThePresidentMen_drink_f_nm_np2_ri_med_2.mp4,213
dataset_root/hmdb51/dribble/Basketball_Dribbling_-_Basketball_Dribbling-_Having_a_Good_Base_dribble_f_cm_np2_ri_med_3.mp4,211
dataset_root/hmdb51/stand/EVOLUTION_stand_u_cm_np1_fr_med_7.mp4,208
dataset_root/hmdb51/walk/Eurotrip_walk_f_nm_np1_fr_med_8.mp4,181
dataset_root/hmdb51/dribble/Sibu_Malaysia_Vacation_little_brother_dribbling_basketball_Sarawak_dribble_f_cm_np1_ri_med_7.mp4,211
dataset_root/hmdb51/shake_hands/American_History_X_shake_hands_u_nm_np2_fr_med_11.mp4,192
dataset_root/hmdb51/jump/Gregoire_Airman_showreel_2008_jump_f_cm_np1_le_bad_4.mp4,188
dataset_root/hmdb51/smoke/Veoh_Alpha_Dog_1_smoke_u_cm_np1_ri_goo_9.mp4,190
dataset_root/hmdb51/catch/Florian_Fromlowitz_beim_Training_der_U_21_Nationalmannschaft_catch_f_cm_np1_ri_med_2.mp4,176
dataset_root/hmdb51/climb_stairs/AgentCodyBanks_climb_stairs_f_cm_np1_fr_med_9.mp4,201
dataset_root/hmdb51/sit/TheBoondockSaints_sit_u_nm_np10_ba_med_0.mp4,182
dataset_root/hmdb51/laugh/YOU_need_to_see_colombe_laugh_!!!_laugh_h_cm_np1_fr_med_1.mp4,215
dataset_root/hmdb51/pullup/Pull-ups_+_Push_ups-_a_time-saving_workout_pullup_u_cm_np1_ri_med_1.mp4,184
dataset_root/hmdb51/fencing/Duel_with_Rapiers_fencing_f_cm_np2_ri_bad_0.mp4,177
dataset_root/hmdb51/shake_hands/Emma_2008_Eurofinals_-_prize_giving_ceremony_Team_Pioneer_members_divx_shake_hands_f_cm_np2_le_med_1.mp4,192
dataset_root/hmdb51/throw/Faith_Rewarded_throw_f_nm_np1_ri_bad_9.mp4,199
dataset_root/hmdb51/jump/St__Louis_Goalkeeping__Academy_elite_training_jump_f_nm_np1_le_bad_5.mp4,188
dataset_root/hmdb51/sword_exercise/Sword_and_Targe_Solo_Exercises_sword_exercise_f_cm_np1_ba_med_2.mp4,180
dataset_root/hmdb51/dive/Splashdiving_II_dive_f_cm_np1_ri_med_2.mp4,200
dataset_root/hmdb51/walk/Veoh_Alpha_Dog_1_walk_l_nm_np1_ba_med_31.mp4,181
dataset_root/hmdb51/smoke/girl_smoking_smoke_h_cm_np1_ri_goo_0.mp4,190
dataset_root/hmdb51/wave/Bush_Wave_vs__Obama_Wave_and_Which_Commander-in-chief_Salutes_the_Best__You_Decide_wave_u_cm_np1_fr_med_4.mp4,210
dataset_root/hmdb51/throw/20060723sfjffangelina_throw_u_cm_np1_ba_med_4.mp4,199
dataset_root/hmdb51/walk/AmericanGangster_walk_f_nm_np1_fr_med_45.mp4,181
dataset_root/hmdb51/somersault/Boden-K_r_somersault_f_cm_np1_ri_med_1.mp4,179
dataset_root/hmdb51/drink/CharlieAndTheChocolateFactory_drink_h_nm_np1_fr_goo_26.mp4,213
dataset_root/hmdb51/sword_exercise/Epee_Fencing_Attacks_-_Remises_sword_exercise_u_nm_np1_fr_bad_0.mp4,180
dataset_root/hmdb51/pushup/Angela_pushup_u_cm_np1_le_med_0.mp4,196
dataset_root/hmdb51/climb_stairs/BIG_FISH_climb_stairs_f_nm_np1_fr_med_1.mp4,201
dataset_root/hmdb51/hug/Free_Hugs_-_Medellin_hug_f_cm_np2_ba_med_6.mp4,222
dataset_root/hmdb51/swing_baseball/Faith_Rewarded_swing_baseball_f_cm_np1_le_bad_21.mp4,187
dataset_root/hmdb51/pick/NH-__Open_Carry_Litter_Pickup_in__troubled__neighborhood_pick_f_nm_np1_le_med_0.mp4,174
dataset_root/hmdb51/pullup/How_to_do_pull-ups_Chin_ups_pullup_u_cm_np1_fr_bad_1.mp4,184
dataset_root/hmdb51/kick/KUNG_FU_HUSTLE_kick_f_nm_np1_fr_bad_37.mp4,185
dataset_root/hmdb51/ride_horse/BackBreakingFun_ride_horse_f_cm_np1_le_med_0.mp4,203
dataset_root/hmdb51/sword/Star_Wars_I_Light_Sabre_Battle_Re-cut_sword_u_cm_np2_ri_med_1.mp4,221
dataset_root/hmdb51/laugh/Der_Lachsack___Laughing_Bag___keep_on_smiling_;0)_laugh_h_cm_np1_fr_med_2.mp4,215
dataset_root/hmdb51/golf/Jordan_Malinoff_and__Anthony_Kim_Practice_golf_f_cm_np1_fr_med_2.mp4,207
dataset_root/hmdb51/eat/OldSchool_eat_h_nm_np1_fr_goo_20.mp4,220
dataset_root/hmdb51/walk/Glory_walk_f_nm_np1_fr_med_9.mp4,181
dataset_root/hmdb51/shoot_ball/Clay_sBasketballSkillz_shoot_ball_f_nm_np1_ba_med_14.mp4,175
dataset_root/hmdb51/flic_flac/Flic_Flacs_flic_flac_f_cm_np1_ri_med_4.mp4,224
dataset_root/hmdb51/swing_baseball/BaseballSwingAnalysis_swing_baseball_u_nm_np1_ba_med_0.mp4,187
dataset_root/hmdb51/swing_baseball/Faith_Rewarded_swing_baseball_f_nm_np1_ri_bad_53.mp4,187
dataset_root/hmdb51/ride_horse/ALeapToFreedom_ride_horse_f_nm_np1_ri_med_0.mp4,203
dataset_root/hmdb51/chew/Bubble_gum!_XD_chew_h_cm_np1_fr_med_1.mp4,205
dataset_root/hmdb51/ride_bike/David_beim_Fahrrad_fahren_X_x_ride_bike_f_cm_np1_ba_med_2.mp4,178
dataset_root/hmdb51/wave/DONNIE_DARKO_wave_u_nm_np1_fr_goo_9.mp4,210
dataset_root/hmdb51/smile/Re-_Show_your_Smile!_4_smile_h_nm_np1_fr_med_0.mp4,193
dataset_root/hmdb51/chew/chewing_gum_1_chew_h_nm_np1_fr_goo_2.mp4,205
dataset_root/hmdb51/shake_hands/d173_graveyard_call_price_giving_ceremony_shake_hands_f_cm_np2_le_med_6.mp4,192
dataset_root/hmdb51/jump/KUNG_FU_HUSTLE_jump_f_cm_np1_fr_bad_16.mp4,188
dataset_root/hmdb51/shoot_bow/Shootingarecurve_shoot_bow_u_nm_np1_fr_med_4.mp4,189
dataset_root/hmdb51/walk/CastAway1_walk_f_nm_np1_ba_bad_9.mp4,181
dataset_root/hmdb51/stand/TheBoondockSaints_stand_f_cm_np1_fr_med_60.mp4,208
dataset_root/hmdb51/punch/The_Matrix_2_punch_u_cm_np2_ri_med_4.mp4,223
dataset_root/hmdb51/walk/TheLastManOnearth_walk_f_cm_np1_ba_med_25.mp4,181
dataset_root/hmdb51/pour/Become_a_Professional_Bartender_pour_u_cm_np1_fr_med_0.mp4,195
dataset_root/hmdb51/golf/Geoff_Ogilvy_golf_f_cm_np1_fr_goo_0.mp4,207
dataset_root/hmdb51/kick_ball/funny_soccer_commercial_kick_ball_f_cm_np1_fr_med_0.mp4,186
dataset_root/hmdb51/handstand/DSHS_Pflicht_Bodenturnen_BAS_1_Bachelor_Spoho_handstand_f_cm_np1_le_med_1.mp4,209
dataset_root/hmdb51/sword/Black_Knight_sword_u_cm_np2_le_goo_4.mp4,221
dataset_root/hmdb51/walk/CastAway1_walk_f_cm_np1_ba_med_0.mp4,181
dataset_root/hmdb51/pullup/Pull-ups-_Nicole_Weeks_pullup_u_cm_np1_le_goo_0.mp4,184
dataset_root/hmdb51/smoke/smoking_2_smoke_h_cm_np1_ba_med_4.mp4,190
dataset_root/hmdb51/pour/How_To_Pour_a_Franziskaner_pour_u_cm_np1_fr_med_0.mp4,195
dataset_root/hmdb51/shoot_bow/6arrowswithin30seconds_shoot_bow_f_nm_np1_fr_med_2.mp4,189
dataset_root/hmdb51/shake_hands/Johnny_Vegas_Presents_An_Award_shake_hands_u_cm_np2_ri_med_0.mp4,192
dataset_root/hmdb51/swing_baseball/Faith_Rewarded_swing_baseball_f_nm_np1_fr_bad_64.mp4,187
dataset_root/hmdb51/cartwheel/Geena_und_die_Radschl_ge___;-)_cartwheel_f_cm_np1_ri_med_0.mp4,214
dataset_root/hmdb51/catch/Goal_Keeping_Tips_catch_u_cm_np1_fr_med_1.mp4,176
dataset_root/hmdb51/dribble/Basic_Basketball_Moves_dribble_f_cm_np1_ri_goo_7.mp4,211
dataset_root/hmdb51/golf/Mike_Weir_at_the_2007_Masters_golf_f_cm_np1_le_med_0.mp4,207
dataset_root/hmdb51/talk/veoh_harold_and_kumar_talk_u_cm_np1_fr_goo_16.mp4,202
dataset_root/hmdb51/fall_floor/THE_PROTECTOR_fall_floor_f_cm_np1_fr_med_89.mp4,218
dataset_root/hmdb51/sit/TheBoondockSaints_sit_f_nm_np1_fr_med_71.mp4,182
dataset_root/hmdb51/shoot_bow/Updatedvideoofmeshootingteamusaarchery_shoot_bow_f_nm_np1_ba_med_0.mp4,189
dataset_root/hmdb51/shake_hands/CSU_Cesar_Chavez_Day_Celebration_and_Award_Ceremony_2009_Part_7_shake_hands_f_nm_np2_le_med_2.mp4,192
dataset_root/hmdb51/golf/Rate_my_golf_swing__driver_and_9_iron_golf_f_cm_np1_le_med_2.mp4,207
dataset_root/hmdb51/shake_hands/Meet_shake_hands_u_cm_np2_le_med_0.mp4,192
dataset_root/hmdb51/run/likebeckam_run_f_cm_np1_ba_med_2.mp4,212
dataset_root/hmdb51/kiss/TVs_Best_Kisses_Top_50_(30_to_21)_kiss_u_cm_np2_le_goo_6.mp4,204
dataset_root/hmdb51/shoot_ball/Clay_sBasketballSkillz_shoot_ball_f_nm_np1_ba_med_2.mp4,175
dataset_root/hmdb51/kiss/TVs_Best_Kisses_Top_50-_(40_to_31)_kiss_h_nm_np2_le_med_4.mp4,204
dataset_root/hmdb51/hit/Glory_hit_u_cm_np1_ba_bad_44.mp4,197
dataset_root/hmdb51/run/RATRACE_run_f_cm_np1_ba_med_22.mp4,212
dataset_root/hmdb51/laugh/Skype_Laughter_Chain_laugh_u_cm_np1_fr_goo_0.mp4,215
dataset_root/hmdb51/shoot_gun/FirearmsTraining_shoot_gun_f_cm_np1_ri_med_0.mp4,217
dataset_root/hmdb51/stand/AReporttoHomeBuilders_stand_u_cm_np1_le_med_0.mp4,208
dataset_root/hmdb51/run/20060723sfjffangelina_run_f_nm_np1_ri_med_1.mp4,212
dataset_root/hmdb51/cartwheel/Beim_Radschlag_Hose_gerissen_(Nick)_xD_cartwheel_f_cm_np1_ri_med_0.mp4,214
dataset_root/hmdb51/hit/schrank_kaput_geschlagen_hit_u_cm_np1_ba_bad_0.mp4,197
dataset_root/hmdb51/handstand/Outdoor-Turnen_handstand_f_cm_np1_fr_med_0.mp4,209
dataset_root/hmdb51/walk/prelinger_LetsBeGo1953_walk_f_cm_np1_ri_med_10.mp4,181
dataset_root/hmdb51/pick/NoCountryForOldMen_pick_u_nm_np1_le_goo_0.mp4,174
dataset_root/hmdb51/pullup/10_Pull_Ups_pullup_f_nm_np1_fr_goo_2.mp4,184
dataset_root/hmdb51/talk/Faith_Rewarded_talk_u_nm_np1_fr_goo_8.mp4,202
dataset_root/hmdb51/run/TheLastManOnearth_run_f_nm_np2_fr_med_49.mp4,212
dataset_root/hmdb51/brush_hair/Prelinger_HabitPat1954_brush_hair_h_nm_np1_ba_med_2.mp4,216
dataset_root/hmdb51/push/Big_Bebe_walking_and_pushing_her_lion_in_a_box!_push_f_cm_np1_le_bad_6.mp4,198
dataset_root/hmdb51/climb_stairs/I_DO_NOT_Run_Up_Stairs_Like_A_GIRL_climb_stairs_l_cm_np1_ba_med_0.mp4,201
